Position,Name,Team,Opponent,Game Time,Avg Fantasy Points,Price,Starter,Injury Status
PF-C,Amar'e Stoudemire,NYK,NYK @ PHI, 7:00 PM,17.9,9600,"",
PG,Kendall Marshall,LAL,LAL vs WAS,10:30 PM,24.9,9600,"",
SG,JR Smith,NYK,NYK @ PHI, 7:00 PM,23.6,9600,"",
PF-C,Kris Humphries,BOS,BOS @ BKN, 7:30 PM,19.4,9600,"",
PG,Reggie Jackson,OKC,OKC @ TOR, 7:00 PM,24.0,9500,"",
PG,Jose Calderon,DAL,DAL vs DEN, 8:30 PM,22.7,9500,"",
PF,Drew Gooden,WAS,WAS @ LAL,10:30 PM,18.8,9400,"",
SF,DeMarre Carroll,ATL,ATL vs NOP, 7:30 PM,22.9,9400,"",OUT
SG-SF,Kyle Korver,ATL,ATL vs NOP, 7:30 PM,23.1,9400,"",
SG,Randy Foye,DEN,DEN @ DAL, 8:30 PM,21.2,9400,"",
C,Roy Hibbert,IND,IND vs CHI, 7:00 PM,25.7,9300,"",
C,Jonas Valanciunas,TOR,TOR vs OKC, 7:00 PM,22.6,9300,"",OUT
SG-SF,Gerald Green,PHO,PHO vs DET,10:00 PM,23.3,9100,"",
PF-C,Andrea Bargnani,NYK,NYK @ PHI, 7:00 PM,23.2,9100,"",OUT
SG,Jodie Meeks,LAL,LAL vs WAS,10:30 PM,22.4,9100,"",
PG,Aaron Brooks,DEN,DEN @ DAL, 8:30 PM,14.5,8900,"",
SG,Manu Ginobili,SAS,SAS @ SAC,10:00 PM,23.3,8900,"",
SG-SF,Nick Young,LAL,LAL vs WAS,10:30 PM,22.4,8800,"",OUT
PG,George Hill,IND,IND vs CHI, 7:00 PM,22.4,8800,"",
SG-SF,Evan Turner,IND,IND vs CHI, 7:00 PM,27.0,8700,"",
SF,Paul Pierce,BKN,BKN vs BOS, 7:30 PM,24.1,8700,"",
PG-SG,Avery Bradley,BOS,BOS @ BKN, 7:30 PM,22.1,8700,"",
PG,Raymond Felton,NYK,NYK @ PHI, 7:00 PM,23.3,8600,"",
PF,Ryan Kelly,LAL,LAL vs WAS,10:30 PM,15.5,8400,"",
SG-SF,Mike Dunleavy,CHI,CHI @ IND, 7:00 PM,21.0,8400,"",
SG-SF,PJ Tucker,PHO,PHO vs DET,10:00 PM,22.3,8400,"",
SG-SF,Vince Carter,DAL,DAL vs DEN, 8:30 PM,21.3,8400,"",
C,Pero Antic,ATL,ATL vs NOP, 7:30 PM,13.9,8400,"",
PF-C,Channing Frye,PHO,PHO vs DET,10:00 PM,22.0,8300,"",
SG,Ben McLemore,SAC,SAC vs SAS,10:00 PM,13.1,8200,"",
SG-SF,Xavier Henry,LAL,LAL vs WAS,10:30 PM,16.4,8200,"",
PG,Devin Harris,DAL,DAL vs DEN, 8:30 PM,17.0,8200,"",
SF,Kyle Singler,DET,DET @ PHO,10:00 PM,16.7,8200,"",
SF,Al-Farouq Aminu,NOP,NOP @ ATL, 7:30 PM,19.4,8200,"",
C,Tiago Splitter,SAS,SAS @ SAC,10:00 PM,18.7,8200,"",
PF,Trevor Booker,WAS,WAS @ LAL,10:30 PM,16.1,8100,"",
SG-SF,Hollis Thompson,PHI,PHI vs NYK, 7:00 PM,12.1,8100,"",
PG-SG,Rodney Stuckey,DET,DET @ PHO,10:00 PM,19.5,8100,"",
PG,Shaun Livingston,BKN,BKN vs BOS, 7:30 PM,18.4,8100,"",
PF-C,Jason Thompson,SAC,SAC vs SAS,10:00 PM,17.3,8100,"",
PF-C,Andray Blatche,BKN,BKN vs BOS, 7:30 PM,22.4,8100,"",
SF,Wilson Chandler,DEN,DEN @ DAL, 8:30 PM,24.0,8100,"",OUT
SG-SF,Wesley Johnson,LAL,LAL vs WAS,10:30 PM,19.6,8000,"",
PF-C,Al Horford,ATL,ATL vs NOP, 7:30 PM,35.6,8000,"",OUT
SF,Tayshaun Prince,MEM,MEM @ MIA, 7:30 PM,13.3,8000,"",
PF,Derrick Williams,SAC,SAC vs SAS,10:00 PM,15.9,8000,"",
SG,Ray Allen,MIA,MIA vs MEM, 7:30 PM,16.7,8000,"",
PG-SG,Kirk Hinrich,CHI,CHI @ IND, 7:00 PM,19.3,8000,"",
PG,Mario Chalmers,MIA,MIA vs MEM, 7:30 PM,21.7,8000,"",
PF-C,Tyler Hansbrough,TOR,TOR vs OKC, 7:00 PM,11.7,8000,"",
PG,Derrick Rose,CHI,CHI @ IND, 7:00 PM,24.2,8000,"",OUT
SG-SF,Terrence Ross,TOR,TOR vs OKC, 7:00 PM,17.0,7900,"",
